"id_serie";"model_name";"model_group";"metric";"value"
"Y18950";"NAIVE";"Naive";"smape";9.377223
"Y18950";"NAIVE";"Naive";"mase";1.614293
"Y18950";"NAIVE";"Naive";"rmsse";1.081313
"Y18950";"SNAIVE [5]";"Naive";"smape";20.951908
"Y18950";"SNAIVE [5]";"Naive";"mase";3.238081
"Y18950";"SNAIVE [5]";"Naive";"rmsse";1.957379
"Y18950";"ARIMA(0,1,0) WITH DRIFT";"Arima_Seas";"smape";6.979261
"Y18950";"ARIMA(0,1,0) WITH DRIFT";"Arima_Seas";"mase";1.189423
"Y18950";"ARIMA(0,1,0) WITH DRIFT";"Arima_Seas";"rmsse";0.672825
"Y18950";"ETS(M,A,N)";"EXP_smoothing__TBATS";"smape";10.467727
"Y18950";"ETS(M,A,N)";"EXP_smoothing__TBATS";"mase";1.849704
"Y18950";"ETS(M,A,N)";"EXP_smoothing__TBATS";"rmsse";1.022345
"Y18950";"THETA METHOD";"EXP_smoothing__TBATS";"smape";6.401371
"Y18950";"THETA METHOD";"EXP_smoothing__TBATS";"mase";1.108636
"Y18950";"THETA METHOD";"EXP_smoothing__TBATS";"rmsse";0.679014
"Y18950";"BATS(0.273, {0,0}, 1, -)";"EXP_smoothing__TBATS";"smape";15.736151
"Y18950";"BATS(0.273, {0,0}, 1, -)";"EXP_smoothing__TBATS";"mase";2.930555
"Y18950";"BATS(0.273, {0,0}, 1, -)";"EXP_smoothing__TBATS";"rmsse";1.571817
"Y18950";"SEASONAL DECOMP: ETS(A,A,N)";"SLTM";"smape";11.163449
"Y18950";"SEASONAL DECOMP: ETS(A,A,N)";"SLTM";"mase";1.981542
"Y18950";"SEASONAL DECOMP: ETS(A,A,N)";"SLTM";"rmsse";1.104071
"Y18950";"SEASONAL DECOMP: ARIMA(0,1,0) WITH DRIFT";"SLTM";"smape";8.270323
"Y18950";"SEASONAL DECOMP: ARIMA(0,1,0) WITH DRIFT";"SLTM";"mase";1.424618
"Y18950";"SEASONAL DECOMP: ARIMA(0,1,0) WITH DRIFT";"SLTM";"rmsse";0.793738
"Y18950";"PROPHET";"Prophet";"smape";12.301039
"Y18950";"PROPHET";"Prophet";"mase";2.216345
"Y18950";"PROPHET";"Prophet";"rmsse";1.199049
"Y18998";"NAIVE";"Naive";"smape";29.150573
"Y18998";"NAIVE";"Naive";"mase";4.083001
"Y18998";"NAIVE";"Naive";"rmsse";2.366148
"Y18998";"SNAIVE [4.5]";"Naive";"smape";36.549529
"Y18998";"SNAIVE [4.5]";"Naive";"mase";4.926822
"Y18998";"SNAIVE [4.5]";"Naive";"rmsse";2.77619
"Y18998";"ARIMA(0,2,0)";"Arima_Seas";"smape";14.413597
"Y18998";"ARIMA(0,2,0)";"Arima_Seas";"mase";2.166848
"Y18998";"ARIMA(0,2,0)";"Arima_Seas";"rmsse";1.247282
"Y18998";"ETS(A,A,N)";"EXP_smoothing__TBATS";"smape";14.495242
"Y18998";"ETS(A,A,N)";"EXP_smoothing__TBATS";"mase";2.178322
"Y18998";"ETS(A,A,N)";"EXP_smoothing__TBATS";"rmsse";1.253868
"Y18998";"THETA METHOD";"EXP_smoothing__TBATS";"smape";17.743162
"Y18998";"THETA METHOD";"EXP_smoothing__TBATS";"mase";2.626633
