"id_serie";"model_group";"seconds"
"Y18950";"Naive";0.55
"Y18950";"Arima_Seas";0.7
"Y18950";"EXP_smoothing__TBATS";2.5
"Y18950";"SLTM";0.82
"Y18950";"Prophet";1
"Y18998";"Naive";0.79
"Y18998";"Arima_Seas";0.62
"Y18998";"EXP_smoothing__TBATS";2.22
"Y18998";"SLTM";0.79
"Y18998";"Prophet";0.83
"Y2993";"Naive";0.92
"Y2993";"Arima_Seas";0.81
"Y2993";"EXP_smoothing__TBATS";2.17
"Y2993";"SLTM";0.74
"Y2993";"Prophet";0.73
"Y1849";"Naive";0.74
"Y1849";"Arima_Seas";0.63
"Y1849";"EXP_smoothing__TBATS";3.31
"Y1849";"SLTM";0.77
"Y1849";"Prophet";1.01
"Y3378";"Naive";0.71
"Y3378";"Arima_Seas";0.71
"Y3378";"EXP_smoothing__TBATS";2.12
"Y3378";"SLTM";0.83
"Y3378";"Prophet";0.84
"Y11735";"Naive";0.58
"Y11735";"Arima_Seas";0.59
"Y11735";"EXP_smoothing__TBATS";2.63
"Y11735";"SLTM";0.78
"Y11735";"Prophet";0.75
"Y4772";"Naive";0.71
"Y4772";"Arima_Seas";0.59
"Y4772";"EXP_smoothing__TBATS";2.7
"Y4772";"SLTM";0.76
"Y4772";"Prophet";1.25
"Y6757";"Naive";0.7
"Y6757";"Arima_Seas";0.54
"Y6757";"EXP_smoothing__TBATS";3.33
"Y6757";"SLTM";0.78
"Y6757";"Prophet";1.58
"Y16231";"Naive";0.68
"Y16231";"Arima_Seas";0.71
"Y16231";"EXP_smoothing__TBATS";2.12
"Y16231";"SLTM";0.78
"Y16231";"Prophet";1.11
"Y2764";"Naive";0.76
"Y2764";"Arima_Seas";0.64
"Y21594";"Naive";0.91
"Y21594";"Arima_Seas";0.63
"Y21594";"EXP_smoothing__TBATS";2.41
"Y21594";"SLTM";0.83
"Y21594";"Prophet";0.76
"Y12733";"Naive";0.77
"Y12733";"Arima_Seas";0.62
"Y12733";"EXP_smoothing__TBATS";2.57
"Y12733";"SLTM";1.05
"Y12733";"Prophet";0.99
"Y9220";"Naive";0.71
"Y9220";"Arima_Seas";0.6
"Y9220";"EXP_smoothing__TBATS";2.29
"Y9220";"SLTM";0.76
"Y9220";"Prophet";0.66
"Y10216";"Naive";0.72
"Y10216";"Arima_Seas";0.74
"Y10216";"EXP_smoothing__TBATS";2.47
"Y10216";"SLTM";0.83
"Y10216";"Prophet";0.92
"Y13764";"Naive";0.72
"Y13764";"Arima_Seas";0.64
"Y13764";"EXP_smoothing__TBATS";2.6
"Y13764";"SLTM";0.79
"Y13764";"Prophet";0.85
"Y2895";"Naive";0.76
"Y2895";"Arima_Seas";0.63
"Y2895";"EXP_smoothing__TBATS";2.31
"Y2895";"SLTM";0.89
"Y2895";"Prophet";0.79
"Y6181";"Naive";0.77
"Y6181";"Arima_Seas";0.61
"Y6181";"EXP_smoothing__TBATS";2.58
"Y6181";"SLTM";0.77
"Y6181";"Prophet";0.75
"Y19054";"Naive";0.73
"Y19054";"Arima_Seas";0.55
"Y19054";"EXP_smoothing__TBATS";3.19
"Y19054";"SLTM";0.84
"Y19054";"Prophet";0.58
"Y9653";"Naive";0.73
"Y9653";"Arima_Seas";0.61
"Y9653";"EXP_smoothing__TBATS";2.77
"Y9653";"SLTM";0.83
"Y9653";"Prophet";0.92
"Y12596";"Naive";0.76
"Y12596";"Arima_Seas";0.52
"Y12596";"EXP_smoothing__TBATS";3.25
"Y12596";"SLTM";0.84
"Y12596";"Prophet";1.07
"Q18856";"Naive";0.88
"Q18856";"Arima_Seas";1.41
"Q18856";"EXP_smoothing__TBATS";5.5
"Q18856";"SLTM";0.8
"Q18856";"Prophet";1.35
"Q18904";"Naive";0.87
"Q18904";"Arima_Seas";0.85
"Q18904";"EXP_smoothing__TBATS";3.83
"Q18904";"SLTM";1.05
"Q18904";"Prophet";0.73
"Q2989";"Naive";1.34
"Q2989";"Arima_Seas";0.83
"Q2989";"EXP_smoothing__TBATS";5.82
"Q2989";"SLTM";0.83
"Q2989";"Prophet";0.85
"Q1845";"Naive";1.12
"Q1845";"Arima_Seas";0.69
"Q3374";"Naive";0.56
"Q3374";"Arima_Seas";0.52
"Q3374";"EXP_smoothing__TBATS";2.54
"Q3374";"SLTM";0.94
"Q3374";"Prophet";2.96
"Q11644";"Naive";0.76
"Q11644";"Arima_Seas";0.85
"Q11644";"EXP_smoothing__TBATS";2.64
"Q11644";"SLTM";0.76
"Q11644";"Prophet";1.31
"Q4764";"Naive";0.96
"Q4764";"Arima_Seas";0.55
"Q4764";"EXP_smoothing__TBATS";3.63
"Q4764";"SLTM";0.9
"Q4764";"Prophet";0.71
"Q6752";"Naive";0.62
"Q6752";"Arima_Seas";0.53
"Q6752";"EXP_smoothing__TBATS";6.13
"Q6752";"SLTM";0.89
"Q6752";"Prophet";1.13
"Q6752";"H2O";228.71
"Q16137";"Naive";0.88
"Q16137";"Arima_Seas";1.71
"Q16137";"EXP_smoothing__TBATS";4.2
"Q16137";"SLTM";1.04
"Q16137";"Prophet";0.63
